User_ID;UTC_Time;Account;Operation;Coin;Change;Remark
71732789;06/04/2021 12:20;Spot;Sell;USDT;-58.86274800;
71732789;06/04/2021 22:45;Spot;Launchpool Subscription/Redemption;BNB;-0.14880000;Binance Launchpool
71732789;06/04/2021 22:57;Spot;Buy;BNB;0.14500000;
71732789;06/04/2021 22:57;Spot;Fee;BNB;-0.00010875;
71732789;06/04/2021 22:57;Spot;Sell;USDT;-59.09585200;
71732789;07/04/2021 06:38;Spot;Launchpool Subscription/Redemption;BNB;-0.14490000;Binance Launchpool
71732789;09/04/2021 00:43;Spot;Launchpool Subscription/Redemption;BUSD;63.31680000;Binance Launchpool
71732789;09/04/2021 00:58;Spot;Launchpool Earnings Withdrawal;ALICE;0.07883543;Binance Launchpool
71732789;09/04/2021 08:29;Spot;Sell;BUSD;-63.30420000;
71732789;09/04/2021 08:29;Spot;Buy;LUNA;3.80000000;
71732789;10/04/2021 21:01;Spot;Sell;RUNE;-4.17000000;
71732789;10/04/2021 21:01;Spot;Fee;BNB;-0.00007696;
71732789;10/04/2021 21:01;Spot;Buy;USDT;47.71856100;
71732789;13/04/2021 09:34;Spot;Buy;IOST;824.00000000;
71732789;13/04/2021 09:34;Spot;Sell;USDT;-47.59671200;
71732789;13/04/2021 09:34;Spot;Fee;IOST;-0.82400000;
71732789;15/04/2021 09:30;Spot;Staking Purchase;MATIC;-148.25160000;
71732789;15/04/2021 09:33;Spot;Staking Purchase;IOST;-823.17600000;
71732789;15/04/2021 16:09;Spot;Staking Purchase;ADA;-53.90000000;
71732789;17/04/2021 02:51;Spot;Staking Rewards;IOST;0.61997500;
71732789;17/04/2021 08:26;Spot;Staking Rewards;MATIC;0.12790259;
71732789;17/04/2021 10:10;Spot;Staking Rewards;ADA;0.03217776;
71732789;18/04/2021 05:06;Spot;Staking Rewards;IOST;0.61997500;
71732789;18/04/2021 05:49;Spot;Staking Rewards;MATIC;0.12790259;
71732789;18/04/2021 15:58;Spot;Staking Rewards;ADA;0.03217776;
71732789;19/04/2021 03:08;Spot;Staking Rewards;IOST;0.61997500;
71732789;19/04/2021 03:27;Spot;Staking Rewards;MATIC;0.12790259;
71732789;19/04/2021 07:46;Spot;Staking Rewards;ADA;0.03217776;
71732789;20/04/2021 04:40;Spot;Staking Rewards;ADA;0.03217776;
71732789;20/04/2021 06:19;Spot;Staking Rewards;IOST;0.61997500;
71732789;20/04/2021 16:14;Spot;Staking Rewards;MATIC;0.12790259;
71732789;21/04/2021 03:14;Spot;Staking Rewards;IOST;0.61997500;
71732789;21/04/2021 04:35;Spot;Staking Rewards;ADA;0.03217776;
71732789;21/04/2021 07:15;Spot;Fee;USDT;-0.11853750;
71732789;21/04/2021 07:15;Spot;Buy;USDT;118.53750000;
71732789;21/04/2021 07:15;Spot;Sell;ENJ;-43.50000000;
71732789;21/04/2021 07:46;Spot;Sell;USDT;-118.20600000;
71732789;21/04/2021 07:46;Spot;Fee;BNB;-0.00014850;
71732789;21/04/2021 07:46;Spot;Buy;BNB;0.19800000;
71732789;21/04/2021 07:47;Spot;Launchpad Subscribe;BNB;-0.19780000;
71732789;21/04/2021 09:02;Spot;Launchpad Token Distribution;BAR;0.00321889;
71732789;21/04/2021 09:30;Spot;Launchpad Subscribe;BNB;0.19765474;
71732789;21/04/2021 11:08;Spot;Staking Rewards;MATIC;0.12790259;
71732789;21/04/2021 16:09;Spot;Sell;BNB;-0.19683000;
71732789;21/04/2021 16:09;Spot;Buy;LUNA;8.10000000;
71732789;21/04/2021 16:09;Spot;Fee;BNB;-0.00014757;
71732789;22/04/2021 02:53;Spot;Staking Rewards;IOST;0.61997500;
71732789;22/04/2021 04:58;Spot;Staking Rewards;ADA;0.03217776;
71732789;22/04/2021 09:23;Spot;Staking Rewards;MATIC;0.12790259;
71732789;23/04/2021 03:10;Spot;Staking Rewards;IOST;0.61997500;
71732789;23/04/2021 03:29;Spot;Staking Rewards;MATIC;0.12790259;
71732789;23/04/2021 09:57;Spot;Staking Rewards;ADA;0.03217776;
71732789;24/04/2021 02:28;Spot;Staking Rewards;IOST;0.61997500;
71732789;24/04/2021 02:46;Spot;Staking Rewards;MATIC;0.12790259;
71732789;24/04/2021 15:49;Spot;Staking Rewards;ADA;0.03217776;
71732789;25/04/2021 02:48;Spot;Staking Rewards;IOST;0.61997500;
71732789;25/04/2021 03:05;Spot;Staking Rewards;MATIC;0.12790259;
71732789;25/04/2021 09:35;Spot;Staking Rewards;ADA;0.03217776;
71732789;26/04/2021 01:55;Spot;Staking Rewards;ADA;0.03217776;
71732789;26/04/2021 03:29;Spot;Staking Rewards;IOST;0.61997500;
71732789;26/04/2021 03:46;Spot;Staking Rewards;MATIC;0.12790259;
71732789;27/04/2021 02:57;Spot;Staking Rewards;ADA;0.03217776;
71732789;27/04/2021 04:08;Spot;Staking Rewards;IOST;0.61997500;
71732789;27/04/2021 04:21;Spot;Staking Rewards;MATIC;0.12790259;
71732789;28/04/2021 02:00;Spot;Staking Rewards;ADA;0.03217776;
71732789;28/04/2021 03:11;Spot;Staking Rewards;IOST;0.61997500;
71732789;28/04/2021 03:24;Spot;Staking Rewards;MATIC;0.12790259;
71732789;29/04/2021 03:00;Spot;Staking Rewards;ADA;0.03217776;
71732789;29/04/2021 04:16;Spot;Staking Rewards;IOST;0.61997500;
71732789;29/04/2021 04:29;Spot;Staking Rewards;MATIC;0.12790259;
